Demi Levato,Ruin The Friendship,Tell Me You Love Me,https://open.spotify.com/track/2VNJ97oCAOYbATSH8fLkjg,68
Ariana Grande,One Last Time,My Everything (Deluxe),https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,75
Dua Lipa,"My Love (feat. Major Lazer, WizKid, Dua Lipa)",SHINE,https://open.spotify.com/track/7rfiXyFb5M9BqdkvKvVEiB,78
Demi Levato,Body Say,Body Say,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck,69
Banks,Underdog,Underdog,https://open.spotify.com/track/6rjTUYhDnwmMMk1Vbur67C,67
Fifth Harmony,Angel,Fifth Harmony,https://open.spotify.com/track/16FcjJG7qeajF19TmB8Dqm,77
Beyonce,Love On Top,4,https://open.spotify.com/track/1z6WtY7X4HQJvzxC4UgkSf,78
Rihanna,Needed Me,ANTI,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,77
Paula Temple,Gegen (I Want To Move) - Hyenaz Edit,Gegen (I Want to Move HYENAZ Edit),https://open.spotify.com/track/5E4AHJWbox1eVlD954BsIv,21
Destiny's Child,Survivor,Survivor,https://open.spotify.com/track/5sN8MGWR2pu2Rn3oAOPYXt,62
Halsey,Colors,BADLANDS,https://open.spotify.com/track/1TnUURhehaoMWKAqQtirm6,72
Halsey,Strangers,hopeless fountain kingdom (Deluxe),https://open.spotify.com/track/11EDhDAVDtGPoSar6ootYA,72
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),https://open.spotify.com/track/6PUIzlqotEmPuBfjbwYWOB,73
Lady Gaga,Bad Romance,The Fame Monster,https://open.spotify.com/track/5P5cGNzqh6A353N3ShDK6Y,70
Ciara,Like a Boy,The Evolution,https://open.spotify.com/track/358bOvBiZCS9fRzNYosw6c,64
Dua Lipa,New Rules,Dua Lipa (Deluxe),https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,98
Daya,Back to Me,"Sit Still, Look Pretty",https://open.spotify.com/track/5WWS2U7DNSbFbWVXHkC9bX,56
